,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed
39,4,9.0,31,0.014265900012105703,"[12, 1, 30, 21, 3, 4, 24, 12, 39, 16, 10, 15, 18, 22, 25, 34, 23, 39, 26, 5, 22, 9, 12, 39, 23, 36, 20, 37, 14, 38, 21, 32, 34, 19, 23, 15, 13, 20, 7, 28]",5,0.5,1024,1
40,8,8.0,56,0.02236760000232607,"[12, 1, 30, 21, 3, 4, 24, 33, 39, 16, 10, 32, 18, 22, 25, 34, 7, 39, 26, 5, 22, 9, 12, 39, 23, 36, 20, 37, 14, 38, 21, 32, 34, 19, 23, 15, 13, 20, 7, 28]",5,0.5,1024,1
41,16,6.0,106,0.03716050001094118,"[19, 1, 30, 21, 18, 4, 24, 33, 39, 16, 10, 32, 18, 22, 25, 34, 7, 39, 26, 5, 22, 9, 12, 6, 23, 36, 20, 37, 14, 38, 21, 35, 34, 19, 23, 15, 13, 20, 7, 28]",5,0.5,1024,1
42,32,3.0,205,0.06461750000016764,"[19, 1, 30, 21, 18, 4, 24, 33, 39, 16, 10, 32, 18, 22, 25, 34, 7, 26, 29, 5, 22, 9, 12, 6, 23, 36, 20, 37, 14, 38, 21, 35, 5, 35, 23, 15, 13, 20, 3, 28]",5,0.5,1024,1
43,64,1.0,399,0.11529740004334599,"[19, 2, 30, 21, 18, 4, 24, 11, 39, 16, 10, 32, 17, 36, 25, 34, 7, 26, 29, 5, 22, 9, 0, 6, 23, 36, 20, 37, 14, 38, 21, 12, 5, 35, 23, 15, 19, 20, 3, 28]",5,0.5,1024,1
44,128,0.0,502,0.1426253000390716,"[19, 2, 30, 1, 18, 28, 24, 11, 39, 16, 10, 32, 17, 24, 25, 34, 7, 26, 29, 5, 22, 9, 12, 6, 23, 36, 20, 37, 14, 38, 21, 12, 5, 35, 23, 15, 19, 20, 3, 28]",5,0.5,1024,1
45,256,0.0,502,0.1426253000390716,"[19, 2, 30, 1, 18, 28, 24, 11, 39, 16, 10, 32, 17, 24, 25, 34, 7, 26, 29, 5, 22, 9, 12, 6, 23, 36, 20, 37, 14, 38, 21, 12, 5, 35, 23, 15, 19, 20, 3, 28]",5,0.5,1024,1
46,512,0.0,502,0.1426253000390716,"[19, 2, 30, 1, 18, 28, 24, 11, 39, 16, 10, 32, 17, 24, 25, 34, 7, 26, 29, 5, 22, 9, 12, 6, 23, 36, 20, 37, 14, 38, 21, 12, 5, 35, 23, 15, 19, 20, 3, 28]",5,0.5,1024,1
47,1024,0.0,502,0.1426253000390716,"[19, 2, 30, 1, 18, 28, 24, 11, 39, 16, 10, 32, 17, 24, 25, 34, 7, 26, 29, 5, 22, 9, 12, 6, 23, 36, 20, 37, 14, 38, 21, 12, 5, 35, 23, 15, 19, 20, 3, 28]",5,0.5,1024,1
48,0,13.0,5,0.0014705000212416053,"[37, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 20, 37, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24, 13, 8, 30]",5,0.75,1024,1
49,1,9.0,12,0.0052211000001989305,"[12, 1, 30, 19, 18, 33, 2, 28, 27, 34, 10, 26, 18, 7, 35, 2, 36, 39, 32, 5, 3, 20, 22, 37, 13, 38, 20, 5, 15, 23, 32, 10, 32, 24, 25, 30, 16, 20, 6, 13]",5,0.75,1024,1
50,2,8.0,19,0.008792400010861456,"[7, 3, 30, 21, 3, 4, 24, 12, 27, 34, 10, 26, 18, 4, 30, 2, 36, 7, 26, 25, 22, 20, 3, 39, 23, 38, 27, 5, 19, 38, 8, 32, 32, 10, 23, 30, 16, 25, 6, 13]",5,0.75,1024,1
51,4,8.0,31,0.013598499994259328,"[7, 3, 30, 21, 3, 4, 24, 12, 27, 34, 10, 26, 18, 4, 30, 2, 36, 7, 26, 25, 22, 20, 3, 39, 23, 38, 27, 5, 19, 38, 8, 32, 32, 10, 23, 30, 16, 25, 6, 13]",5,0.75,1024,1
52,8,5.0,57,0.02294110000366345,"[7, 3, 30, 21, 3, 4, 24, 12, 27, 14, 10, 26, 18, 17, 30, 34, 36, 39, 26, 25, 22, 20, 3, 39, 23, 37, 27, 5, 19, 38, 8, 32, 2, 10, 23, 30, 16, 25, 6, 13]",5,0.75,1024,1
