,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
3,4,4.0,6,0.0018971000099554658,"[7, 5, 1, 0, 2, 8, 2, 9, 7, 7]",1,1024,0,4
4,8,4.0,10,0.00280030001886189,"[7, 5, 1, 0, 2, 8, 2, 9, 7, 7]",1,1024,0,4
5,16,1.0,21,0.003709400014486164,"[3, 5, 4, 0, 2, 8, 2, 9, 1, 7]",1,1024,0,4
6,32,1.0,37,0.004891999997198582,"[3, 5, 4, 0, 2, 8, 2, 9, 1, 7]",1,1024,0,4
7,64,1.0,69,0.006953700038138777,"[3, 5, 4, 0, 2, 8, 2, 9, 1, 7]",1,1024,0,4
8,128,0.0,90,0.009157499996945262,"[3, 5, 4, 0, 2, 8, 6, 9, 1, 7]",1,1024,0,4
9,256,0.0,90,0.009157499996945262,"[3, 5, 4, 0, 2, 8, 6, 9, 1, 7]",1,1024,0,4
10,512,0.0,90,0.009157499996945262,"[3, 5, 4, 0, 2, 8, 6, 9, 1, 7]",1,1024,0,4
11,1024,0.0,90,0.009157499996945262,"[3, 5, 4, 0, 2, 8, 6, 9, 1, 7]",1,1024,0,4
0,0,4.0,0,8.159998105838895e-05,"[3, 6, 6, 0, 9, 8, 4, 7, 0, 0]",1,1024,0,5
1,1,4.0,1,0.0006706999847665429,"[3, 6, 6, 0, 9, 8, 4, 7, 0, 0]",1,1024,0,5
2,2,4.0,2,0.001270200009457767,"[3, 6, 6, 0, 9, 8, 4, 7, 0, 0]",1,1024,0,5
3,4,4.0,4,0.0023324000067077577,"[3, 6, 6, 0, 9, 8, 4, 7, 0, 0]",1,1024,0,5
4,8,3.0,9,0.003111099998932332,"[3, 6, 1, 0, 9, 8, 4, 7, 0, 0]",1,1024,0,5
5,16,1.0,19,0.004005700000561774,"[3, 6, 1, 2, 9, 8, 4, 7, 0, 4]",1,1024,0,5
6,32,1.0,35,0.005170399963390082,"[3, 6, 1, 2, 9, 8, 4, 7, 0, 4]",1,1024,0,5
7,64,1.0,67,0.007049200008623302,"[3, 6, 1, 2, 9, 8, 4, 7, 0, 4]",1,1024,0,5
8,128,1.0,131,0.010883099981583655,"[3, 6, 1, 2, 9, 8, 4, 7, 0, 4]",1,1024,0,5
9,256,0.0,174,0.014560399984475225,"[3, 6, 1, 2, 9, 8, 5, 7, 0, 4]",1,1024,0,5
10,512,0.0,174,0.014560399984475225,"[3, 6, 1, 2, 9, 8, 5, 7, 0, 4]",1,1024,0,5
11,1024,0.0,174,0.014560399984475225,"[3, 6, 1, 2, 9, 8, 5, 7, 0, 4]",1,1024,0,5
0,0,7.0,0,8.289999095723033e-05,"[9, 4, 0, 1, 9, 0, 1, 8, 9, 0]",1,1024,0,10
1,1,5.0,2,0.0006784000433981419,"[9, 4, 0, 1, 9, 0, 1, 8, 6, 0]",1,1024,0,10
2,2,4.0,4,0.0016140000079758465,"[9, 4, 0, 1, 3, 0, 1, 8, 6, 0]",1,1024,0,10
3,4,4.0,6,0.0025215999921783805,"[9, 4, 0, 1, 3, 0, 1, 8, 6, 0]",1,1024,0,10
4,8,2.0,12,0.0034200000227428973,"[9, 4, 0, 7, 3, 4, 1, 8, 6, 0]",1,1024,0,10
5,16,1.0,21,0.0043187999981455505,"[9, 4, 0, 7, 3, 4, 1, 8, 6, 2]",1,1024,0,10
6,32,0.0,24,0.00506270001642406,"[9, 5, 0, 7, 3, 4, 1, 8, 6, 2]",1,1024,0,10
7,64,0.0,24,0.00506270001642406,"[9, 5, 0, 7, 3, 4, 1, 8, 6, 2]",1,1024,0,10
8,128,0.0,24,0.00506270001642406,"[9, 5, 0, 7, 3, 4, 1, 8, 6, 2]",1,1024,0,10
9,256,0.0,24,0.00506270001642406,"[9, 5, 0, 7, 3, 4, 1, 8, 6, 2]",1,1024,0,10
10,512,0.0,24,0.00506270001642406,"[9, 5, 0, 7, 3, 4, 1, 8, 6, 2]",1,1024,0,10
11,1024,0.0,24,0.00506270001642406,"[9, 5, 0, 7, 3, 4, 1, 8, 6, 2]",1,1024,0,10
0,0,6.0,0,0.0002454000059515238,"[5, 11, 12, 8, 9, 11, 5, 0, 0, 1, 12, 7, 13, 12, 6]",1,1024,0,1
1,1,6.0,1,0.0011832000454887748,"[5, 11, 12, 8, 9, 11, 5, 0, 0, 1, 12, 7, 13, 12, 6]",1,1024,0,1
2,2,6.0,2,0.0019938000477850437,"[5, 11, 12, 8, 9, 11, 5, 0, 0, 1, 12, 7, 13, 12, 6]",1,1024,0,1
3,4,4.0,5,0.002728200051933527,"[5, 11, 4, 8, 9, 11, 5, 0, 0, 1, 12, 7, 13, 12, 6]",1,1024,0,1
4,8,2.0,11,0.0035692000528797507,"[5, 11, 4, 8, 9, 11, 5, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
5,16,1.0,20,0.00580500002251938,"[5, 11, 4, 8, 9, 11, 14, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
6,32,1.0,36,0.008395600016228855,"[5, 11, 4, 8, 9, 11, 14, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
7,64,1.0,68,0.011294900032225996,"[5, 11, 4, 8, 9, 11, 14, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
8,128,1.0,132,0.016981300024781376,"[5, 11, 4, 8, 9, 11, 14, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
9,256,1.0,260,0.03166790003888309,"[5, 11, 4, 8, 9, 11, 14, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
10,512,0.0,288,0.03613469999982044,"[5, 11, 4, 8, 9, 3, 14, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
11,1024,0.0,288,0.03613469999982044,"[5, 11, 4, 8, 9, 3, 14, 10, 0, 1, 12, 7, 13, 2, 6]",1,1024,0,1
0,0,7.0,0,0.0001601999974809587,"[8, 13, 8, 6, 11, 2, 11, 8, 7, 2, 1, 11, 5, 10, 4]",1,1024,0,2
1,1,7.0,1,0.0013158000074326992,"[8, 13, 8, 6, 11, 2, 11, 8, 7, 2, 1, 11, 5, 10, 4]",1,1024,0,2
2,2,7.0,2,0.002049500006251037,"[8, 13, 8, 6, 11, 2, 11, 8, 7, 2, 1, 11, 5, 10, 4]",1,1024,0,2
3,4,6.0,5,0.0027940000290982425,"[8, 13, 8, 6, 10, 2, 11, 8, 7, 2, 1, 11, 5, 10, 4]",1,1024,0,2
4,8,4.0,11,0.0036652000271715224,"[8, 13, 8, 6, 10, 2, 11, 6, 7, 2, 1, 3, 5, 10, 4]",1,1024,0,2
5,16,3.0,20,0.0047423000214621425,"[8, 13, 0, 6, 10, 2, 11, 6, 7, 2, 1, 3, 5, 10, 4]",1,1024,0,2
6,32,2.0,37,0.006383300002198666,"[8, 13, 0, 6, 10, 2, 11, 9, 7, 2, 1, 3, 5, 10, 4]",1,1024,0,2
7,64,1.0,70,0.009183600021060556,"[8, 13, 0, 6, 10, 2, 11, 9, 7, 14, 1, 3, 5, 10, 4]",1,1024,0,2
8,128,0.0,127,0.01396720000775531,"[8, 13, 0, 6, 10, 2, 11, 9, 7, 14, 1, 3, 5, 4, 4]",1,1024,0,2
9,256,0.0,127,0.01396720000775531,"[8, 13, 0, 6, 10, 2, 11, 9, 7, 14, 1, 3, 5, 4, 4]",1,1024,0,2
10,512,0.0,127,0.01396720000775531,"[8, 13, 0, 6, 10, 2, 11, 9, 7, 14, 1, 3, 5, 4, 4]",1,1024,0,2
11,1024,0.0,127,0.01396720000775531,"[8, 13, 0, 6, 10, 2, 11, 9, 7, 14, 1, 3, 5, 4, 4]",1,1024,0,2
0,0,10.0,0,0.0001811000402085483,"[10, 8, 9, 3, 8, 8, 0, 5, 13, 3, 10, 11, 9, 9, 10]",1,1024,0,3
1,1,8.0,2,0.0013482000213116407,"[10, 8, 9, 3, 8, 7, 0, 5, 13, 3, 10, 11, 9, 9, 10]",1,1024,0,3
2,2,8.0,3,0.002150900021661073,"[10, 8, 9, 3, 8, 7, 0, 5, 13, 3, 10, 11, 9, 9, 10]",1,1024,0,3
3,4,7.0,6,0.0030770000303164124,"[10, 8, 9, 3, 8, 7, 0, 5, 13, 3, 10, 11, 9, 7, 10]",1,1024,0,3
4,8,4.0,12,0.004120099998544902,"[10, 8, 2, 3, 8, 7, 0, 5, 13, 3, 1, 11, 9, 7, 10]",1,1024,0,3
5,16,4.0,20,0.0051933000213466585,"[10, 8, 2, 3, 8, 7, 0, 5, 13, 3, 1, 11, 9, 7, 10]",1,1024,0,3
