,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
131,1024,10.0,6294,0.26883399998769164,"[4, 4, 4, 4, 4]",30,0.05,1024,1,5
132,0,1.0,30,0.0004327999195083976,"[3, 4, 0, 1, 3]",30,0.1,1024,1,5
133,1,6.0,62,0.005396199994720519,"[4, 4, 4, 4, 1]",30,0.1,1024,1,5
134,2,6.0,93,0.010999099933542311,"[4, 4, 4, 4, 1]",30,0.1,1024,1,5
135,4,10.0,156,0.017428499995730817,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
136,8,10.0,280,0.02549229993019253,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
137,16,10.0,528,0.0415302999317646,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
138,32,10.0,1024,0.06300570000894368,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
139,64,10.0,2016,0.09590950002893806,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
140,128,10.0,4000,0.16735809994861484,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
141,256,10.0,6356,0.25368750002235174,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
142,512,10.0,6356,0.25368750002235174,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
143,1024,10.0,6356,0.25368750002235174,"[4, 4, 4, 4, 4]",30,0.1,1024,1,5
144,0,1.0,30,0.00090230000205338,"[3, 4, 0, 1, 3]",30,0.2,1024,1,5
145,1,6.0,62,0.007844100007787347,"[4, 4, 4, 4, 1]",30,0.2,1024,1,5
146,2,6.0,93,0.013044000021182,"[4, 4, 4, 4, 1]",30,0.2,1024,1,5
147,4,10.0,156,0.018693999969400465,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
148,8,10.0,280,0.02663019997999072,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
149,16,10.0,528,0.040406999993138015,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
150,32,10.0,1024,0.06040830002166331,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
151,64,10.0,2016,0.09733589994721115,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
152,128,10.0,4000,0.16027779993601143,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
153,256,10.0,6356,0.23886040004435927,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
154,512,10.0,6356,0.23886040004435927,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
155,1024,10.0,6356,0.23886040004435927,"[4, 4, 4, 4, 4]",30,0.2,1024,1,5
156,0,1.0,30,0.0003952999832108617,"[3, 4, 0, 1, 3]",30,0.5,1024,1,5
157,1,4.0,62,0.0051620000740513206,"[1, 0, 1, 0, 1]",30,0.5,1024,1,5
158,2,6.0,94,0.010153000010177493,"[1, 1, 1, 0, 1]",30,0.5,1024,1,5
159,4,6.0,156,0.016203999985009432,"[1, 1, 1, 0, 1]",30,0.5,1024,1,5
160,8,10.0,281,0.027046100003644824,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
161,16,10.0,529,0.039245399995706975,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
162,32,10.0,1025,0.059571900055743754,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
163,64,10.0,2017,0.09434389998205006,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
164,128,10.0,4001,0.16035520005971193,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
165,256,10.0,6388,0.2435226000379771,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
166,512,10.0,6388,0.2435226000379771,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
167,1024,10.0,6388,0.2435226000379771,"[1, 1, 1, 1, 1]",30,0.5,1024,1,5
168,0,1.0,30,0.0003872999222949147,"[3, 4, 0, 1, 3]",30,0.75,1024,1,5
169,1,6.0,62,0.005452399956993759,"[1, 0, 1, 1, 1]",30,0.75,1024,1,5
170,2,10.0,94,0.010930899996310472,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
171,4,10.0,156,0.01906949991825968,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
172,8,10.0,280,0.02831329999025911,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
173,16,10.0,528,0.04274760000407696,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
174,32,10.0,1024,0.06647760001942515,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
175,64,10.0,2016,0.11111189995426685,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
176,128,10.0,4000,0.19050599995534867,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
177,256,10.0,6294,0.27522419998422265,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
178,512,10.0,6294,0.27522419998422265,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
179,1024,10.0,6294,0.27522419998422265,"[2, 2, 2, 2, 2]",30,0.75,1024,1,5
