,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
149,16,17.0,528,0.05506280000554398,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
150,32,17.0,1024,0.07667889998992905,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
151,64,17.0,2016,0.11462070001289248,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
152,128,17.0,4000,0.17691059998469427,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
153,256,17.0,7968,0.30282749998150393,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
154,512,17.0,15749,0.5801757000153884,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
155,1024,17.0,15749,0.5801757000153884,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.2,1024,1,10
156,0,2.0,30,0.00031239999225363135,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",30,0.5,1024,1,10
157,1,15.0,62,0.00929269997868687,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",30,0.5,1024,1,10
158,2,16.0,94,0.018468499998562038,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",30,0.5,1024,1,10
159,4,16.0,156,0.0282702999538742,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",30,0.5,1024,1,10
160,8,17.0,281,0.040461799944750965,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
161,16,17.0,529,0.05567009997321293,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
162,32,17.0,1025,0.07874959998298436,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
163,64,17.0,2017,0.11776779999490827,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
164,128,17.0,4001,0.1812126999720931,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
165,256,17.0,7969,0.3170370999723673,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
166,512,17.0,15781,0.5855676999781281,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
167,1024,17.0,15781,0.5855676999781281,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",30,0.5,1024,1,10
168,0,2.0,30,0.0008642000029794872,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",30,0.75,1024,1,10
169,1,15.0,62,0.018014000030234456,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
170,2,16.0,94,0.034366500040050596,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
171,4,17.0,157,0.04647810000460595,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
172,8,17.0,281,0.05894860002445057,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
173,16,17.0,529,0.07746630004839972,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
174,32,17.0,1025,0.10235460003605112,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
175,64,17.0,2017,0.14653319999342784,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",30,0.75,1024,1,10
