,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
19,64,10.0,619,0.0845539000001736,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,10
20,128,10.0,683,0.09919619996799156,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,10
21,256,10.0,811,0.13856559997657314,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,10
22,512,10.0,1067,0.22616109997034073,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,10
23,1024,10.0,1078,0.23232809995533898,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,10
0,0,2.0,0,7.000000914558768e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,1024,0,1
1,1,2.0,1,0.0009281000238843262,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,1024,0,1
2,2,2.0,2,0.0016705000307410955,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,1024,0,1
3,4,2.0,4,0.002375899988692254,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,1024,0,1
4,8,2.0,8,0.003102899994701147,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",1,1024,0,1
5,16,5.0,17,0.003929800004698336,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1,1024,0,1
6,32,5.0,33,0.004920800041873008,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1,1024,0,1
7,64,6.0,66,0.00648650003131479,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,1
8,128,15.0,136,0.00975630001630634,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,1
9,256,20.0,267,0.018696999992243946,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,1
10,512,20.0,523,0.052788900036830455,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,1
11,1024,20.0,675,0.08037879999028519,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,1
12,0,2.0,675,0.08276820002356544,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
13,1,2.0,676,0.08448479999788105,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
14,2,2.0,677,0.08624989999225363,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
15,4,2.0,679,0.08810069999890402,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
16,8,2.0,683,0.09032140002818778,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
17,16,2.0,691,0.09322810004232451,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
18,32,3.0,708,0.09879850002471358,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
19,64,3.0,740,0.10691520001273602,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
20,128,7.0,807,0.12908069998957217,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,1,1
21,256,20.0,940,0.1677056000335142,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,1
22,512,20.0,1196,0.249859000032302,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,1
23,1024,20.0,1418,0.3596652999985963,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,1
0,0,2.0,0,0.0001466000103391707,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1,1024,0,2
1,1,2.0,1,0.001837100018747151,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1,1024,0,2
2,2,2.0,2,0.0035138000384904444,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1,1024,0,2
3,4,2.0,4,0.005227100045885891,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1,1024,0,2
4,8,2.0,8,0.0067266999976709485,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1,1024,0,2
5,16,2.0,16,0.008137300028465688,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",1,1024,0,2
6,32,3.0,33,0.009630900050979108,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]",1,1024,0,2
7,64,3.0,65,0.01178320002509281,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]",1,1024,0,2
8,128,6.0,132,0.016114400001242757,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,2
9,256,20.0,268,0.0325291000190191,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
10,512,20.0,524,0.07228280004346743,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
11,1024,20.0,768,0.12262780003948137,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
12,0,0.0,768,0.12572250002995133,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
13,1,0.0,769,0.12764690001495183,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
14,2,0.0,770,0.12953370000468567,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
15,4,0.0,772,0.13165610004216433,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
16,8,0.0,776,0.13417420000769198,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
17,16,0.0,784,0.1374807000393048,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
18,32,0.0,800,0.14418440003646538,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
19,64,14.0,836,0.15330600005108863,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,1,2
20,128,15.0,901,0.17155780002940446,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",1,1024,1,2
21,256,20.0,1031,0.21832260000519454,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,2
22,512,20.0,1287,0.2888551000505686,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,2
23,1024,20.0,1438,0.33778060000622645,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,2
0,0,3.0,0,6.86999992467463e-05,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",1,1024,0,3
1,1,3.0,1,0.000722800032235682,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",1,1024,0,3
2,2,3.0,2,0.0013188000302761793,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",1,1024,0,3
3,4,3.0,4,0.0019261999987065792,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",1,1024,0,3
4,8,3.0,8,0.00252470001578331,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",1,1024,0,3
5,16,3.0,16,0.003182800021022558,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",1,1024,0,3
6,32,4.0,33,0.004018299980089068,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",1,1024,0,3
7,64,4.0,65,0.005348799983039498,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",1,1024,0,3
