,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
119,1024,16.0,196,0.06229619999794522,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",exponential,2.0,,0.001,1.9993771350103613,2.0,1024,0.005
120,0,2.0,0,7.840000034775585e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,5.0,0.99,0.001,4.99999606026988,5.0,1024,
121,1,0.0,2,0.008396600002015475,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,5.0,0.99,0.001,4.999578074552871,5.0,1024,
122,2,0.0,4,0.016889899998204783,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",geometric,5.0,0.99,0.001,4.999151326195303,5.0,1024,
123,4,0.0,8,0.0243419000034919,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",geometric,5.0,0.99,0.001,4.998776928263109,5.0,1024,
124,8,0.0,16,0.03193950000422774,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,5.0,0.99,0.001,4.998395244069098,5.0,1024,
125,16,5.0,31,0.038850100005220156,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",geometric,5.0,0.99,0.001,4.998048098326225,5.0,1024,
126,32,2.0,63,0.04675790000328561,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",geometric,5.0,0.99,0.001,4.997650889010959,5.0,1024,
127,64,0.0,126,0.05567549999977928,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1]",geometric,5.0,0.99,0.001,4.99720299524639,5.0,1024,
128,128,17.0,226,0.06616639999992913,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,5.0,0.99,0.001,4.996676132588251,5.0,1024,
129,256,17.0,226,0.06616639999992913,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,5.0,0.99,0.001,4.996676132588251,5.0,1024,
130,512,17.0,226,0.06616639999992913,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",geometric,5.0,0.99,0.001,4.996676132588251,5.0,1024,
